# Simulation 9 (Up to date)
# 489 data points written for 54 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (20.1 m/s)
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,117.01,0,117.01,0,0,0,0,0,0,28.61,-80.6,9.7922,90,0,0,0,223.74,33.51,0.0061805,6.8822e-5,NaN,37.14,NaN,0.0061146,78935,28.37,0,0.74814,0,0.46517,0.16297,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,4.158,13.579,90,0,NaN,15,1013.2,340.39,0.01,8.9993e-4
0.01,0.0058503,1.17,306.58,1.17,306.58,0,0,0,0,0,0,28.61,-80.6,9.7922,60.326,0,0,0,223.74,33.51,0.0061805,6.8822e-5,NaN,37.14,NaN,0.0069433,89634,70.786,8.2659e-4,0.73286,0.17793,0.44988,0.16297,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.4981e-4,4.158,13.579,90,0,NaN,15,1013.2,340.39,0.01,0.0012626
# Event LIFTOFF occurred at t=0.02 seconds
0.02,0.03289,4.2384,310.91,4.2384,310.91,0,0,0,0,0,0,28.61,-80.6,9.7922,25.544,0,0,0,223.5,33.269,0.0061756,6.8797e-5,NaN,37.125,NaN,0.013801,178157,71.693,0.014689,0.66196,0.80037,0.37895,0.16298,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.4266e-4,4.158,13.579,90,0,NaN,15,1013.2,340.39,0.01,0.0014241
0.03,0.090834,7.351,305.64,7.351,305.64,0,0,0,0,0,0,28.61,-80.6,9.7922,15.204,0,0,0,223.18,32.943,0.0061688,6.8762e-5,NaN,37.104,NaN,0.022379,288898,70.435,0.038726,0.62171,0.80242,0.33863,0.16301,0.12007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.4118e-4,4.158,13.579,90,0,NaN,14.999,1013.2,340.39,0.01,0.0016274
0.04,0.17964,10.411,305.64,10.411,305.64,0,0,0,0,0,0,28.61,-80.6,9.7922,10.715,0,0,0,222.83,32.594,0.0061616,6.8726e-5,NaN,37.082,NaN,0.031128,401835,70.354,0.067395,0.59787,0.72181,0.31469,0.16305,0.12013,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0013329,4.158,13.579,90,0,NaN,14.999,1013.2,340.39,0.0096054,0.0020761
0.049605,0.29375,13.35,305.86,13.35,305.86,0,0,0,0,0,0,28.61,-80.6,9.7922,8.282,0,0,0,222.49,32.256,0.0061546,6.869e-5,NaN,37.061,NaN,0.039632,511617,70.333,0.10207,0.58937,0.67438,0.30606,0.16311,0.1202,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0017092,4.158,13.579,90,0,NaN,14.998,1013.2,340.39,0.0074908,0.0022328
0.057096,0.40234,15.643,306.05,15.643,306.05,0,0,0,0,0,0,28.61,-80.6,9.7922,7.0787,0,0,0,222.2,31.963,0.0061484,6.8659e-5,NaN,37.042,NaN,0.046309,597803,70.316,0.13555,0.58948,0.65593,0.30604,0.16316,0.12028,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0020028,4.158,13.579,90,0,NaN,14.997,1013.2,340.39,0.0063927,0.0024544
0.063489,0.5086,17.601,306.18,17.601,306.18,0,0,0,0,0,0,28.61,-80.6,9.7922,6.2991,0,0,0,221.96,31.726,0.0061435,6.8634e-5,NaN,37.027,NaN,0.052022,671546,70.302,0.16806,0.58958,0.64444,0.30603,0.16321,0.12035,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0022535,4.158,13.579,90,0,NaN,14.997,1013.2,340.39,0.0056816,0.0027332
0.06917,0.61354,19.341,306.28,19.341,306.28,0,0,0,0,0,0,28.61,-80.6,9.7922,5.7371,0,0,0,221.75,31.519,0.0061391,6.8612e-5,NaN,37.014,NaN,0.057108,737189,70.289,0.20003,0.58969,0.63653,0.30601,0.16325,0.12042,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0024764,4.158,13.579,90,0,NaN,14.996,1013.2,340.39,0.0051702,0.0029623
0.074341,0.71764,20.926,306.34,20.926,306.34,0,0,0,0,0,0,28.61,-80.6,9.7922,5.306,0,0,0,221.57,31.333,0.0061352,6.8593e-5,NaN,37.002,NaN,0.061741,796988,70.277,0.23167,0.58979,0.63074,0.30599,0.1633,0.1205,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0026792,4.158,13.579,90,0,NaN,14.995,1013.2,340.39,0.0047788,0.0032101
0.079119,0.82114,22.39,306.4,22.39,306.4,0,0,0,0,0,0,28.61,-80.6,9.7922,4.9614,0,0,0,221.39,31.162,0.0061316,6.8575e-5,NaN,36.991,NaN,0.066027,852302,70.266,0.26309,0.58989,0.62631,0.30597,0.16335,0.12057,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0028667,4.158,13.579,90,0,NaN,14.995,1013.2,340.39,0.0044662,0.0034559
0.083586,0.92419,23.759,306.43,23.759,306.43,0,0,0,0,0,0,28.61,-80.6,9.7922,4.6774,0,0,0,221.24,31.004,0.0061283,6.8558e-5,NaN,36.98,NaN,0.070034,904028,70.255,0.29434,0.58999,0.62282,0.30596,0.1634,0.12064,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003042,4.158,13.579,90,0,NaN,14.994,1013.1,340.39,0.0042089,0.0035879
# Event LAUNCHROD occurred at t=0.087795 seconds
0.087795,1.0269,25.05,306.46,25.05,306.47,0,0,0,0,0,2.2532,28.61,-80.6,9.7922,4.438,0,0,0,221.09,30.855,0.0061252,6.8543e-5,41.712,36.971,1.1402,0.073813,952795,70.243,0.32547,0.5901,0.61999,0.30594,0.16345,0.12071,0.94757,1.0808,2.5623e-4,0,0,0,0,0,0.0032072,4.158,13.579,90,0,NaN,14.993,1013.1,340.38,0.0063133,0.0037546
0.094108,1.1912,26.985,306.42,26.985,306.43,-4.5747e-5,0,4.5747e-5,180,0.014608,2.3632,28.61,-80.6,9.7922,4.0862,0,1.4525,8.4939e-5,220.91,30.675,0.0061214,6.8524e-5,41.804,36.959,1.1651,0.07948,1025934,70.224,0.37495,0.59026,0.61603,0.30591,0.16352,0.12082,0.86551,1.0082,1.744e-4,0,0,0,0,7.1466e-5,0.003455,4.158,13.579,89.995,9.707e-4,NaN,14.992,1013.1,340.38,0.00947,0.0039053
0.10358,1.4605,29.888,306.32,29.888,306.33,-2.9134e-4,0,2.9134e-4,-180,0.037318,2.4007,28.61,-80.6,9.7922,3.6128,0,3.8401,-7.6294e-4,220.64,30.404,0.0061156,6.8495e-5,41.93,36.942,1.1996,0.087984,1135677,70.195,0.45581,0.59053,0.61113,0.30587,0.16365,0.12101,0.75701,0.90776,-7.3075e-5,0,0,0,0,4.0765e-4,0.0038267,4.158,13.579,89.971,0.0052952,NaN,14.991,1013.1,340.38,0.014205,0.0040348
0.11778,1.9159,34.241,306.11,34.242,306.11,-0.0010579,0,0.0010579,180,0.06994,2.1217,28.61,-80.6,9.7922,2.9808,0,7.8119,-0.0016328,220.23,29.998,0.006107,6.8453e-5,42.104,36.916,1.2478,0.10074,1300325,70.162,0.59199,0.59098,0.60542,0.3058,0.16386,0.12132,0.61555,0.76641,-1.1688e-4,0,0,0,0,0.0012867,0.0043841,4.158,13.579,89.888,0.0088569,NaN,14.988,1013,340.38,0.013682,0.0041574
0.13147,2.4131,38.433,305.98,38.433,305.98,-0.0021956,2.7028e-8,0.0021956,180,0.094802,1.4374,28.61,-80.6,9.7922,2.4436,3.118e-7,11.95,-6.5658e-4,219.75,29.52,0.0060968,6.8402e-5,42.257,36.885,1.2922,0.11304,1458930,70.13,0.7403,0.59147,0.60142,0.30572,0.16409,0.12166,0.49837,0.64123,4.7219e-4,0,0,0,0,0.0023919,0.0049208,4.158,13.579,89.753,0.0072374,NaN,14.984,1013,340.38,0.012969,0.0042775
