# Simulation 9 (Up to date)
# 494 data points written for 54 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (20.3 m/s)
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,117.01,0,117.01,0,0,0,0,0,0,28.61,-80.6,9.7922,90,0,0,0,223.74,33.51,0.0061805,6.8822e-5,NaN,37.14,NaN,0.0054188,69954,28.37,0,0.76341,0,0.48043,0.16297,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,4.158,13.579,90,0,NaN,15,1013.2,340.39,0.01,0.0023484
0.01,0.0058503,1.17,306.58,1.17,306.58,0,0,0,0,0,0,28.61,-80.6,9.7922,57.314,0,0,0,223.74,33.51,0.0061805,6.8822e-5,NaN,37.14,NaN,0.006365,82169,70.786,8.9963e-4,0.74323,0.23043,0.46025,0.16297,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.4981e-4,4.158,13.579,90,0,NaN,15,1013.2,340.39,0.01,0.0028898
# Event LIFTOFF occurred at t=0.02 seconds
0.02,0.03289,4.2384,310.91,4.2384,310.91,0,0,0,0,0,0,28.61,-80.6,9.7922,23.039,0,0,0,223.5,33.269,0.0061756,6.8797e-5,NaN,37.125,NaN,0.013531,174674,71.693,0.014665,0.66376,0.83125,0.38075,0.16298,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.4266e-4,4.158,13.579,90,0,NaN,15,1013.2,340.39,0.01,0.003285
0.03,0.090834,7.351,305.64,7.351,305.64,0,0,0,0,0,0,28.61,-80.6,9.7922,13.623,0,0,0,223.18,32.943,0.0061688,6.8762e-5,NaN,37.104,NaN,0.022221,286856,70.435,0.037577,0.62225,0.78975,0.33918,0.16301,0.12006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.4118e-4,4.158,13.579,90,0,NaN,14.999,1013.2,340.39,0.01,0.003537
0.04,0.17964,10.411,305.65,10.411,305.65,0,0,0,0,0,0,28.61,-80.6,9.7922,9.5976,0,0,0,222.83,32.594,0.0061616,6.8726e-5,NaN,37.082,NaN,0.03102,400437,70.354,0.065378,0.5981,0.7051,0.31493,0.16305,0.12013,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001333,4.158,13.579,90,0,NaN,14.999,1013.2,340.39,0.0096053,0.0037628
0.049605,0.29375,13.35,305.87,13.35,305.87,0,0,0,0,0,0,28.61,-80.6,9.7922,7.427,0,0,0,222.49,32.257,0.0061546,6.869e-5,NaN,37.061,NaN,0.039551,510571,70.333,0.099657,0.58937,0.66112,0.30606,0.16311,0.1202,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0017092,4.158,13.579,90,0,NaN,14.998,1013.2,340.39,0.0074907,0.0040541
0.057096,0.40234,15.643,306.07,15.643,306.07,0,0,0,0,0,0,28.61,-80.6,9.7922,6.3708,0,0,0,222.2,31.963,0.0061484,6.8659e-5,NaN,37.042,NaN,0.046243,596941,70.316,0.13298,0.58948,0.64537,0.30604,0.16316,0.12028,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0020029,4.158,13.579,90,0,NaN,14.997,1013.2,340.39,0.0063926,0.0043766
0.063489,0.5086,17.601,306.19,17.601,306.19,0,0,0,0,0,0,28.61,-80.6,9.7922,5.6878,0,0,0,221.96,31.726,0.0061435,6.8634e-5,NaN,37.027,NaN,0.051965,670804,70.302,0.16542,0.58958,0.63573,0.30603,0.16321,0.12035,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0022536,4.158,13.579,90,0,NaN,14.997,1013.2,340.39,0.0056815,0.00454
0.06917,0.61354,19.342,306.29,19.342,306.29,0,0,0,0,0,0,28.61,-80.6,9.7922,5.1958,0,0,0,221.75,31.519,0.0061391,6.8612e-5,NaN,37.014,NaN,0.057057,736534,70.289,0.19736,0.58969,0.62916,0.30601,0.16325,0.12042,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0024764,4.158,13.579,90,0,NaN,14.996,1013.2,340.39,0.0051702,0.004732
